gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC188838.3_FG005,4.285438166,-0.087487066,0.404211842,-0.216438651,0.828645841,0.962555093
AC188964.3_FG002,0.054324892,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC188978.3_FG008,0.025370049,-0.062525025,0.12736406,-0.490915762,0.623486029,NA
AC189048.2_FG001,0.113948508,0.006264682,0.129269721,0.048462099,0.96134797,NA
AC189052.3_FG003,0,NA,NA,NA,NA,NA
AC189056.3_FG001,0,NA,NA,NA,NA,NA
AC189060.4_FG007,0,NA,NA,NA,NA,NA
AC189078.3_FG004,0.15295042,-0.110846992,0.161106567,-0.688035219,0.491430603,NA
AC189084.3_FG002,0.06545509,0.00674491,0.128405717,0.052528112,0.958107896,NA
AC189280.3_FG001,0.378257198,0.067339684,0.186632524,0.360814302,0.71823827,NA
AC189694.3_FG003,0.08409332,0.006804812,0.128812256,0.052827365,0.957869458,NA
AC189750.4_FG004,570.0921348,-0.013867122,0.351963794,-0.039399287,0.968572049,0.993863354
AC189752.3_FG003,0,NA,NA,NA,NA,NA
AC189753.3_FG002,0.242974461,0.250975802,0.203147543,1.235436071,0.216668255,NA
AC189770.3_FG002,0,NA,NA,NA,NA,NA
AC189771.3_FG001,0.052408884,0.114114843,0.128170194,0.890338381,0.373284218,NA
AC189792.3_FG005,1.357020109,-0.495871539,0.310194319,-1.598583562,0.109913165,NA
AC189795.3_FG001,0.026204442,0.07138026,0.127345089,0.560526213,0.575120565,NA
AC189796.3_FG004,0.025370049,-0.062525025,0.12736406,-0.490915762,0.623486029,NA
AC189879.3_FG003,35.28078154,-0.137200289,0.350456581,-0.391490119,0.695434991,0.927716263
AC189883.3_FG002,0.036441918,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC190035.1_FG005,0.205591965,-0.075753994,0.136660507,-0.554322504,0.579358152,NA
AC190225.2_FG001,0.04733109,0.004219969,0.127345089,0.033138062,0.973564491,NA
AC190480.1_FG007,0.366710715,-0.101541622,0.240589386,-0.422053623,0.672985878,NA
AC190485.1_FG004,0,NA,NA,NA,NA,NA
AC190491.1_FG002,0.076396329,0.007195622,0.12878717,0.0558722,0.955443618,NA
AC190496.1_FG002,0.118239057,-0.099373252,0.132906993,-0.747690165,0.454647065,NA
AC190498.1_FG007,0.141993269,0.008467173,0.132351347,0.063974969,NA,NA
