gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AC152495.1_FG002,161.3505484,-0.940797772,0.403060253,-2.334136806,0.01958856,0.080050227
AC152495.1_FG003,20.67043888,1.206751477,0.649744629,1.857270414,0.063272691,0.19027595
AC152495.1_FG010,187.3717131,0.317962149,0.387655402,0.820218542,0.412091534,0.643456022
AC152495.1_FG011,0.106563552,-0.459522474,0.540986325,-0.849416062,0.395649819,NA
AC152495.1_FG012,46.69939709,4.144062889,0.659010113,6.288314561,3.21E-10,1.18E-08
AC152495.1_FG013,0.316799874,-0.003639233,0.591297622,-0.006154655,0.995089327,NA
AC152495.1_FG015,0.623690114,-0.178249147,0.691707835,-0.257694272,0.796642867,NA
AC152495.1_FG017,145.2201981,-6.497852918,0.59897824,-10.84822867,2.03E-27,5.15E-25
AC155352.2_FG001,0.669856,-0.517134252,0.720532436,-0.717711272,0.472935332,NA
AC155352.2_FG010,0.098017472,-0.004881415,0.531784293,-0.009179314,0.99267607,NA
AC155376.2_FG002,0,NA,NA,NA,NA,NA
AC155376.2_FG004,8.764917524,-0.199348243,0.826263071,-0.241264859,0.809349845,0.916695694
AC155376.2_FG005,265.4869611,0.283331098,0.31167137,0.909070016,0.363313169,0.598495263
AC155377.1_FG001,2112.044184,-1.372181218,0.406917196,-3.37213868,0.000745869,0.006002861
AC155377.1_FG002,273.8105614,0.36280631,0.25884384,1.401641662,0.161022279,0.361000467
AC155390.2_FG002,16.50072413,-1.149947934,0.689804213,-1.667064237,0.095501632,0.2520053
AC155434.2_FG001,84.29982924,0.138708641,0.523591905,0.264917467,0.791073042,0.906557163
AC155434.2_FG003,19.68583788,0.308208183,0.880137288,0.35018194,0.72620216,0.870199263
AC155434.2_FG004,423.2172994,-0.69651749,0.260316708,-2.675654186,0.007458356,0.038308696
AC155434.2_FG005,173.7672658,-0.500795878,0.43877503,-1.141349994,0.253724305,0.482969627
AC155434.2_FG006,998.8172546,-0.457674376,0.315914906,-1.448726753,0.147413906,0.340982801
AC155496.2_FG009,589.0783989,-0.523234096,0.261367247,-2.001911494,0.045294251,0.149701244
AC155610.2_FG007,1.932647319,0.659907135,0.954914583,0.691064046,0.489525293,0.708311266
AC155610.2_FG009,219.834277,-0.286004088,0.343266317,-0.833184248,0.404740825,0.637155279
AC155622.2_FG001,314.5303591,-0.227444884,0.302600348,-0.751634576,0.452270844,0.678011125
AC155622.2_FG004,18.31140396,-1.393577004,0.739125874,-1.885439345,0.059370546,0.181809908
AC155624.2_FG006,219.6433544,0.236082937,0.296968753,0.794975681,0.426627648,0.655948025
AC155624.2_FG011,2294.547696,-0.351118585,0.296332531,-1.184880321,0.236064769,0.460359188
AC159612.1_FG007,10.22245057,0.390784125,0.820043202,0.476540899,0.633689077,0.812691421
AC165171.2_FG002,0.217673628,-0.003871991,0.574275279,-0.006742395,0.994620388,NA
AC165178.2_FG004,5.252905783,-0.87640431,0.868854938,-1.008688874,0.313123869,0.549402456
AC166636.1_FG007,6.745361807,-0.566080465,0.923115609,-0.613228137,0.539725502,0.746815434
AC166636.1_FG008,34.71122729,-0.500758511,0.701201514,-0.714143511,0.475138443,0.697471135
AC166636.1_FG009,4.110021489,-0.199971477,0.955066814,-0.209379568,0.834151942,0.929803229
AC177831.3_FG004,7.418554739,-1.569418171,0.933066892,-1.681999633,0.092568911,0.246961857
AC177833.2_FG001,0.358886721,-0.540791034,0.61400671,-0.880757531,0.378449071,NA
AC177837.3_FG002,0,NA,NA,NA,NA,NA
AC177838.2_FG015,8.747747857,-2.906948983,0.908409417,-3.200042767,0.001374072,0.010001319
